,City,CO,NO2,O3,SO2,PM2.5,PM10
150,Arlington,961.3,61.69,0.0,1.74,18.82,27.57
151,Killeen,247.0,5.74,41.49,0.28,5.45,7.23
152,Shawnee,247.0,10.63,36.12,0.38,2.46,3.29
153,Cincinnati,240.33,6.86,49.35,1.24,3.04,3.65
154,Broomfield,277.04,15.42,30.76,0.49,4.89,6.98
155,Peoria,280.38,12.34,27.54,0.29,4.58,5.41
156,Pembroke Pines,216.96,1.67,78.68,0.2,5.23,7.64
157,Turlock,300.41,22.96,58.65,7.21,10.35,16.16
158,Indianapolis,257.02,10.45,39.34,0.41,3.65,4.6
159,San Angelo,263.69,7.71,42.92,0.16,3.61,5.57
160,Hayward,263.69,15.59,65.8,2.33,5.67,13.63
161,College Station,283.72,10.63,35.05,0.31,5.61,7.98
162,Santa Maria,226.97,2.19,28.25,0.45,3.35,8.66
163,Albuquerque,220.3,5.36,40.77,0.34,4.2,17.09
164,Sparks,360.49,33.59,18.6,0.41,13.82,19.91
165,Alexandria,236.99,16.45,38.27,14.42,46.58,70.6
166,Jonesboro,277.04,8.48,8.67,0.1,5.48,6.51
167,Cheektowaga,333.79,18.51,16.63,2.92,8.28,8.69
168,El Monte,807.76,79.51,0.0,4.11,21.51,37.61
169,Detroit,220.3,5.66,31.83,0.94,0.84,1.2
170,Camden,667.57,27.76,0.0,2.68,15.23,17.01
171,Brownsville,260.35,9.17,57.94,3.28,3.41,5.37
172,Lakeland,210.29,1.34,82.25,0.39,5.72,15.36
173,East Orange,453.95,56.21,0.5,6.38,8.59,11.41
174,Birmingham,263.69,16.28,0.33,3.99,5.59,6.23
175,Palo Alto,230.31,4.63,80.82,1.18,4.85,12.59
176,Richmond,247.0,3.9,17.88,0.38,7.4,7.53
177,Pasadena,807.76,79.51,0.0,4.11,21.51,37.61
178,Manteca,267.03,16.11,56.51,2.89,6.4,13.64
179,Edmond,327.11,17.65,49.35,0.43,5.08,6.16
180,Springfield,260.35,8.23,31.11,0.13,3.78,4.29
181,Victorville,383.85,12.34,113.01,3.64,36.44,44.42
182,Palatine,313.76,17.82,24.68,0.2,3.85,5.85
183,Yuma,250.34,7.88,45.78,0.46,8.98,25.65
184,Tallahassee,226.97,2.14,55.08,0.34,6.99,7.74
185,North Charleston,240.33,3.17,50.07,1.0,4.92,5.3
186,Oceanside,287.06,12.51,64.37,1.06,10.27,16.93
187,High Point,250.34,3.47,38.27,0.64,1.61,1.88
188,Orange,236.99,5.1,30.4,0.53,1.23,1.77
189,Lubbock,213.62,2.36,79.39,0.28,5.25,8.66
190,Pittsburgh,300.41,11.65,13.95,0.8,4.96,5.35
191,Atlanta,233.65,7.2,65.09,4.83,3.1,4.17
192,Lexington-Fayette  county,223.64,3.77,52.21,0.66,1.79,2.03
193,Providence,247.0,6.77,53.64,1.57,3.71,4.17
194,Lawton,297.07,10.54,27.54,0.64,6.25,7.77
195,Charleston,236.99,2.87,49.35,1.06,4.59,4.88
196,Simi Valley,287.06,8.57,28.97,0.16,10.38,16.19
197,Arden-Arcade,277.04,12.51,64.37,2.06,6.19,10.51
198,Lake Charles,290.39,6.43,71.53,2.71,19.4,20.88
199,Toledo,213.62,0.89,64.37,0.17,2.86,4.08
200,Houston,367.17,27.76,31.11,2.21,9.05,11.67
201,Pomona,660.9,74.03,38.62,7.21,41.66,50.39
202,Chino,660.9,74.03,38.62,7.21,41.66,50.39
203,Cranston,243.66,5.74,57.94,1.06,3.3,3.67
204,Modesto,280.38,16.28,57.22,3.37,8.15,13.97
205,West Jordan,767.71,105.56,3.26,6.26,55.62,64.32
206,Midland,208.62,2.14,68.67,0.1,2.64,4.64
207,Gainesville,223.64,1.5,80.82,0.81,9.15,13.0
208,Evansville,253.68,7.2,50.78,0.4,3.2,3.67
209,Lawrence,226.97,7.11,42.56,0.21,2.38,3.05
210,Norfolk,247.0,3.38,53.64,0.7,6.15,6.37
211,Rochester Hills,211.95,3.17,34.69,0.28,0.74,0.98
212,Mission Viejo,433.92,40.78,41.13,2.56,12.63,24.06
213,Hampton,250.34,3.86,54.36,1.01,5.45,5.71
214,Lehigh Acres,208.62,1.59,71.53,0.16,2.12,4.21
215,San Clemente,203.61,0.58,60.8,0.1,3.23,4.58
216,Port Saint Lucie,211.95,1.06,83.69,0.18,3.98,5.86
217,Hemet,467.3,20.05,140.19,8.82,50.46,55.84
218,Huntington Beach,574.11,84.31,17.52,8.11,15.76,25.0
219,Bryan,233.65,5.4,37.91,0.11,4.93,7.59
220,Savannah,236.99,2.55,53.64,1.61,5.29,5.71
221,Rockville,277.04,6.34,30.4,1.52,6.91,7.11
222,Austin,453.95,32.22,10.46,0.79,10.09,14.55
223,San Buenaventura,247.0,12.51,29.68,0.11,6.97,8.68
224,Richardson,507.36,42.84,0.14,1.0,8.95,11.87
225,Edinburg,236.99,1.54,60.08,0.58,1.23,1.87
226,Rochester,310.42,12.85,6.08,0.37,8.46,9.47
227,Bolingbrook,547.41,40.78,0.02,0.51,10.44,16.97
228,Victoria,410.56,23.31,10.37,3.07,4.06,5.87
229,Auburn,230.31,2.53,61.51,1.16,4.51,5.18
230,Rockford,267.03,8.74,15.02,0.03,3.38,4.49
231,Clovis,297.07,8.14,34.69,0.13,19.85,24.78
232,Scranton,240.33,6.0,37.55,0.31,1.2,1.37
233,Pearland,273.71,8.05,59.37,2.0,9.56,11.49
234,Shreveport,243.66,12.51,7.87,0.2,6.69,9.29
235,Warner Robins,247.0,2.66,64.37,1.24,5.99,6.68
236,Clearwater,213.62,0.35,108.72,0.78,8.76,25.65
237,Lake Forest,357.15,23.65,4.69,0.11,5.31,9.2
238,Santa Fe,223.64,6.51,55.08,1.45,6.98,11.89
239,Wichita Falls,260.35,9.08,54.36,0.22,5.23,6.37
240,San Juan,176.91,0.41,44.35,0.35,5.85,6.81
241,Enterprise,223.64,1.91,57.94,0.78,5.6,6.87
242,Denver,741.01,69.92,0.0,3.61,20.28,26.77
243,Chula Vista,297.07,17.99,67.23,1.4,10.45,16.79
244,Waukesha,310.42,16.79,9.3,0.08,3.19,4.7
245,Denton,297.07,12.85,19.67,0.1,3.81,5.85
246,Bay,223.64,0.87,62.23,0.23,0.5,0.6
247,Reno,247.0,14.22,30.04,0.11,12.81,17.65
248,San Jose,287.06,20.91,54.36,3.31,7.53,15.82
249,Alafaya,210.29,2.57,76.53,0.65,3.95,9.41
250,Tampa,216.96,1.3,101.57,0.91,8.74,24.53
251,Lynn,233.65,3.17,60.8,0.84,3.19,3.59
252,Carmel,250.34,8.23,40.05,0.28,3.8,4.55
253,Carrollton,720.98,56.89,0.0,1.0,13.71,18.25
254,North Little Rock,293.73,17.65,5.72,0.36,5.84,8.47
255,North Richland Hills,567.44,37.7,0.03,0.28,10.73,16.41
256,Passaic,333.79,21.59,10.19,1.45,4.83,6.52
257,Ponce,226.97,0.2,5.72,0.06,0.63,0.81
258,Phoenix,373.84,28.45,45.06,1.52,12.43,23.11
259,San Francisco,216.96,0.77,85.83,0.63,3.55,9.63
260,Lincoln,210.29,1.8,60.08,0.25,3.17,5.01
261,Buena Park,1321.79,112.41,0.0,9.18,39.04,57.91
262,Gulfport,263.69,8.57,19.85,0.37,6.95,8.18
263,Huntsville,223.64,3.51,58.65,0.53,3.33,3.99
264,Grand Rapids,247.0,8.91,31.11,0.09,1.67,2.54
265,Homestead,210.29,0.59,70.81,0.16,4.97,7.21
266,Broken Arrow,343.8,19.54,36.48,0.69,6.84,7.86
267,Lauderhill,216.96,1.67,78.68,0.2,5.23,7.64
268,Gastonia,247.0,2.83,42.2,0.56,0.77,0.95
269,Glendale,801.09,86.37,0.0,5.07,21.61,33.88
